BOOT_TIME_EPOCH1688710950070
BOOT_UPTIME_MILLIS 4939973
time, accel_x, accel_y, accel_z
4964024, -4.0318356, 0.047884032, 8.7292595
4964034, -4.10845, 0.0047884034, 8.820239
4964045, -4.185065, -0.02873042, 9.078813
4964054, -4.0797195, -0.07182605, 9.193734
4964064, -4.084508, -0.110133275, 9.279925
4964074, -4.0222588, -0.08619126, 9.394848
4964084, -4.0174704, -0.10534488, 9.3421755
4964095, -4.0414124, -0.12449849, 9.241618
4964104, -3.9983168, -0.10534488, 9.093178
4964114, -3.9791632, -0.07182605, 8.930372
4964128, -3.9552212, -0.08140286, 8.78672
4964134, -4.0797195, -0.038307227, 8.791509
4964145, -4.1371803, -0.090979666, 8.820239
4964154, -4.271256, -0.02873042, 8.896853
4964164, -4.247314, -0.06703765, 8.925584
4964174, -4.1946416, -0.019153614, 8.920795
4964184, -4.1802764, 0.0047884034, 8.930372
4964195, -4.122815, -0.0047884034, 9.021352
4964204, -4.098873, 0.01436521, 8.992621
4964214, -4.0940847, 0.04309563, 9.02614
4964227, -4.0797195, 0.062249243, 9.045294
4964234, -4.074931, -0.01436521, 9.030929
4964244, -4.10845, -0.019153614, 8.944737
4964254, -4.0653543, 0.05267244, 8.853758
4964264, -4.060566, 0.07182605, 8.7771435
4964282, -4.1132383, 0.033518825, 8.734048
4964284, -4.185065, 0.05267244, 8.7292595
4964294, -4.232949, 0.07182605, 8.772355
4964304, -4.237737, 0.047884032, 8.820239
4964314, -4.175488, 0.062249243, 8.825027
4964328, -4.185065, 0.047884032, 8.868123
4964334, -4.1036615, 0.01436521, 8.853758
4964346, -4.1036615, 0.02873042, 8.791509
4964354, -4.1036615, -0.02873042, 8.820239
4964364, -4.2425256, -0.01436521, 8.887277
4964378, -4.2760444, 0.023942016, 8.944737
4964384, -4.2904096, 0.02873042, 8.959103
4964397, -4.3239284, 0.009576807, 8.968679
4964404, -4.2425256, 0.02873042, 8.930372
4964414, -4.185065, -0.02873042, 8.973468
4964428, -4.122815, 0.04309563, 9.069236
4964434, -4.074931, 0.02873042, 9.035717
4964445, -4.1180267, 0.076614454, 9.064447
4964454, -4.1659107, 0.06703765, 9.021352
4964464, -4.185065, 0.04309563, 8.944737
4964478, -4.19943, 0.033518825, 8.978256
4964484, -4.2281604, 0.01436521, 8.916007
4964495, -4.271256, -0.019153614, 8.882488
4964504, -4.280833, 0.019153614, 8.925584
4964514, -4.357447, 0.009576807, 8.834604
4964529, -4.367024, 0.038307227, 8.959103
4964534, -4.4340615, 0.10534488, 8.896853
4964545, -4.367024, 0.15801731, 8.734048
4964554, -4.256891, 0.23942018, 8.6095495
4964564, -4.1515455, 0.23942018, 8.552089
4964574, -4.132392, 0.22026655, 8.48984
4964584, -4.209007, 0.24899697, 8.456321
4964595, -4.185065, 0.24899697, 8.523358
4964604, -4.1371803, 0.2777274, 8.595184
4964614, -4.0940847, 0.2825158, 8.652645
4964628, -4.1515455, 0.21547815, 8.714894
4964634, -4.2281604, 0.23942018, 8.858546
4964644, -4.256891, 0.15322891, 9.050082
4964654, -4.237737, 0.15322891, 9.160215
4964664, -4.223372, 0.16759412, 9.14585
4964681, -4.132392, 0.12449849, 9.074024
4964684, -4.185065, 0.16280572, 8.99741
4964694, -4.1371803, 0.18195933, 8.925584
4964704, -4.084508, 0.22026655, 8.815451
4964714, -4.0701427, 0.24420857, 8.738836
4964727, -4.1706996, 0.22984336, 8.6334915
4964734, -4.2760444, 0.2633622, 8.686164
4964744, -4.285621, 0.2633622, 8.748413
4964754, -4.237737, 0.24420857, 8.829816
4964764, -4.189853, 0.18674773, 8.968679
4964777, -4.213795, 0.19632454, 9.040505
4964784, -4.213795, 0.19153613, 8.939949
4964794, -4.189853, 0.21068975, 8.987833
4964804, -4.209007, 0.19153613, 9.006987
4964814, -4.146757, 0.19632454, 8.8777
4964827, -4.1132383, 0.22026655, 8.801085
4964834, -4.050989, 0.20590134, 8.820239
4964844, -4.0653543, 0.21547815, 8.896853
