BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, touch_ID, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure
162283, 0, 1552.0, 96.0, 4.0, 4.0, 12.566370614359172, 1.0
162292, 0, 1554.0, 96.0, 4.0, 4.0, 12.566370614359172, 1.0
162298, 0, 1554.7767, 96.0, 4.0, 4.0, 12.566370614359172, 1.0
162300, 0, 1555.0, 96.0, 4.0, 4.0, 12.566370614359172, 1.0
162308, 0, 1557.0, 96.0, 4.0, 4.0, 12.566370614359172, 1.0
162315, 0, 1557.77, 96.0, 4.0, 4.0, 12.566370614359172, 1.0
162317, 0, 1558.0, 96.0, 4.0, 4.0, 12.566370614359172, 1.0
162325, 0, 1560.0, 97.0, 4.0, 4.0, 12.566370614359172, 1.0
162332, 0, 1560.755, 97.75503, 4.0, 4.0, 12.566370614359172, 1.0
162334, 0, 1561.0, 98.0, 4.0, 4.0, 12.566370614359172, 1.0
162342, 0, 1563.0, 98.0, 4.0, 4.0, 12.566370614359172, 1.0
162348, 0, 1565.2316, 98.0, 4.0, 4.0, 12.566370614359172, 1.0
162350, 0, 1566.0, 98.0, 4.0, 4.0, 12.566370614359172, 1.0
162359, 0, 1568.0, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162365, 0, 1570.1775, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162367, 0, 1571.0, 99.0, 6.0, 4.0, 18.84955592153876, 1.0
162376, 0, 1574.0, 99.0, 6.0, 4.0, 18.84955592153876, 1.0
162381, 0, 1576.1222, 99.0, 6.0, 4.0, 18.84955592153876, 1.0
162384, 0, 1577.0, 99.0, 4.0, 3.0, 9.42477796076938, 1.0
162392, 0, 1580.0, 99.0, 3.0, 3.0, 7.0685834705770345, 1.0
162398, 0, 1582.108, 99.0, 3.0, 3.0, 7.0685834705770345, 1.0
162401, 0, 1583.0, 99.0, 3.0, 3.0, 7.0685834705770345, 1.0
162409, 0, 1586.0, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162415, 0, 1588.7487, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162417, 0, 1590.0, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162426, 0, 1593.0, 100.0, 4.0, 4.0, 12.566370614359172, 1.0
162431, 0, 1595.0184, 99.3272, 4.0, 4.0, 12.566370614359172, 1.0
162434, 0, 1596.0, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162443, 0, 1598.0, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162448, 0, 1599.9777, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162451, 0, 1601.0, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162459, 0, 1604.0, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162465, 0, 1605.2864, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162468, 0, 1606.0, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162476, 0, 1609.0, 99.0, 4.0, 4.0, 12.566370614359172, 1.0
162481, 0, 1610.2369, 99.618484, 4.0, 4.0, 12.566370614359172, 1.0
162484, 0, 1611.0, 100.0, 4.0, 4.0, 12.566370614359172, 1.0
162493, 0, 1615.0, 100.0, 4.0, 4.0, 12.566370614359172, 1.0
162498, 0, 1616.8506, 100.61686, 4.0, 4.0, 12.566370614359172, 1.0
162501, 0, 1618.0, 101.0, 4.0, 4.0, 12.566370614359172, 1.0
162510, 0, 1621.0, 101.0, 4.0, 4.0, 12.566370614359172, 1.0
